City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,freetown,8.484,-13.2299,29.84,70,40,5.42,SL,1682013600
300,manjeshvar,12.7,74.8833,29.66,79,15,1.52,IN,1682013600
301,opuwo,-18.0607,13.84,20.51,65,100,2.61,NA,1682013600
302,kutum,14.2,24.6667,28.89,11,0,3.55,SD,1682013600
303,douz,33.4663,9.0203,21.68,57,67,11.46,TN,1682013600
304,lapovo,44.1842,21.0973,15.78,72,66,1.55,RS,1682013600
305,orzysz,53.8097,21.9481,11.25,70,50,4.03,PL,1682013600
306,machali,-34.1833,-70.6667,27.26,28,29,3.05,CL,1682013600
307,harper,4.375,-7.7169,27.14,81,100,2.53,LR,1682013600
308,kirakira,-10.4544,161.9205,25.91,83,59,1.15,SB,1682013600
309,kyzyl-suu,42.3414,78.0056,3.75,63,24,2.44,KG,1682013600
310,palmer,42.1584,-72.3287,16.94,40,20,3.62,US,1682013600
311,kenai,60.5544,-151.2583,1.34,76,0,2.09,US,1682013600
312,las tablas,7.7667,-80.2833,31.95,47,12,4.95,PA,1682013600
313,port alfred,-33.5906,26.891,18.99,68,99,14.41,ZA,1682013600
314,sao felix do xingu,-6.6447,-51.995,31.13,61,45,1.64,BR,1682013600
315,manta,-0.95,-80.7333,28.88,70,40,1.88,EC,1682013600
316,margate,51.3813,1.3862,8.07,77,70,9.48,GB,1682013600
317,revda,56.801,59.9303,2.55,90,55,0.96,RU,1682013600
318,ouani,-12.1322,44.4258,27.51,81,30,3.02,KM,1682013600
319,elko,41.0002,-115.5012,3.87,43,31,4.44,US,1682013600
320,cabedelo,-6.9811,-34.8339,31.37,66,80,3.01,BR,1682013600
321,taltal,-25.4,-70.4833,19.65,76,64,2.58,CL,1682013600
322,fort st. john,56.2499,-120.8529,1.0,80,100,3.35,CA,1682013600
323,mahina,-17.5065,-149.489,27.87,78,75,7.74,PF,1682013600
324,labasa,-16.4167,179.3833,24.48,92,43,2.82,FJ,1682013600
325,lashio,22.9333,97.75,22.04,30,3,0.41,MM,1682013600
326,upington,-28.4478,21.2561,23.21,38,20,5.9,ZA,1682013600
